category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Apparel,21239.8655,25533.697,28150.8635,33055.0925,31137.7205,33209.5455,32224.388,24778.211,28286.5,37086.665,45871.975,31191.1055,46278.1565,41535.053,42159.996,32304.990999999998,44544.3865,45717.32,56837.4855,45754.142,36925.1555,51085.3915,49296.3345,60730.598,54435.325000000004,62530.9165,67746.3425,53113.807,66473.628,65667.8725,71784.952,77192.5965,67390.5485,62906.6665,61550.383,69400.183
Beauty & Health,60052.741500000004,41534.945,17577.903,51036.408,68534.6635,48307.8995,104647.769,97695.6095,65168.276,79944.858,73954.79699999999,95038.336,61569.6835,38047.676999999996,67279.704,38080.102,93841.292,92102.2245,84624.3155,51177.0055,64791.214,102192.834,85229.942,131306.327,94122.66649999999,60090.144,73444.4025,65487.649,137785.5835,74673.41649999999,103049.285,97775.519,98815.7995,95329.4885,188833.1455,122731.3455
Books & Media,128047.825,26458.4935,92026.2955,20088.4005,95527.82149999999,25385.1885,125698.53850000001,-10949.0165,57215.1645,88876.4215,32401.478,42193.9005,38672.3765,85297.255,98344.40000000001,58105.3205,209249.799,79305.32299999999,78095.6305,75221.624,208235.6595,42079.854,166165.4445,83910.15299999999,125021.395,106307.455,152314.2495,159820.926,129320.9505,193029.0195,137012.25400000002,205021.1805,150065.8715,96435.1925,161320.4735,98021.7455
Electronics,25582.771,18903.1235,29059.617,31505.1345,37199.9585,24216.8425,28442.8255,34811.941,38387.8875,30239.723,37566.1275,37891.386,35616.3295,34268.580500000004,34978.5875,38478.5705,27301.537,49923.7095,48123.838,35414.478,43456.6605,38467.6845,51799.3615,55896.352,63363.911,58977.7135,47790.505,54830.402500000004,57836.684,56161.3055,66704.2225,67158.3685,68340.331,65971.645,77072.5025,77909.7675
Home & Kitchen,26523.481,20377.2125,25163.399,14614.6935,16810.64,26472.093,27978.1685,28888.161500000002,28571.713,31437.605,36308.468,33716.326,24518.4565,35880.045,24831.3775,28731.832,37414.082500000004,38133.6155,45089.6175,34242.4295,40759.354,44421.888,36925.6185,44319.123999999996,57079.2895,45557.933,42377.4225,41549.669499999996,65139.0805,48098.9375,64510.6775,69189.7875,42555.8425,61020.1155,53530.47,54403.291
Sports & Outdoors,28962.854,28190.1225,31757.2405,19665.7625,35050.5315,34761.53,28334.153,36961.139,26225.717,31888.434,36601.761,36261.123999999996,41651.6995,29488.4085,30872.076,34678.167,38946.2645,44305.1535,47520.4145,36259.5125,51289.6575,49033.2085,45923.048,56249.8145,59404.196,66804.7185,55489.81,61135.594,61572.0605,60629.5755,76973.439,78066.092,53916.692,66349.473,68578.7915,61859.899
